.,Multicap,Tactical Allocation,Bond Allocation,Tactical Long Short,Alternative Sector Rotation,Tact. ETF,Core II,Core Strat.,Dynamic Opt.,S&P 500
Jan-07,2.74%,0.10%,-0.14%,0.99%,1.67%,,-0.82%,0.91%,,1.41%
Feb-07,-0.31%,-0.37%,1.83%,-1.86%,-2.50%,,-0.86%,-0.56%,,-2.18%
Mar-07,-2.42%,-0.64%,0.43%,1.10%,3.09%,,1.35%,1.61%,,1.00%
Apr-07,2.18%,1.73%,1.21%,4.21%,-3.96%,,2.68%,2.43%,,4.33%
May-07,4.09%,3.04%,0.12%,3.22%,-3.41%,,2.79%,2.38%,,3.25%
Jun-07,1.87%,-1.12%,-1.08%,-1.39%,1.41%,,-1.26%,-1.81%,,-1.78%
Jul-07,-1.88%,-2.13%,0.57%,0.32%,9.00%,,-1.94%,-1.10%,,-3.20%
Aug-07,0.73%,-0.16%,0.42%,7.60%,-4.70%,,-0.25%,0.17%,,1.29%
Sep-07,3.84%,0.99%,1.14%,4.00%,4.35%,,2.39%,4.20%,,3.58%
Oct-07,7.55%,5.78%,1.30%,1.60%,7.76%,,3.72%,3.07%,,1.48%
Nov-07,-4.54%,-3.99%,1.39%,3.19%,-5.56%,,-3.40%,-3.12%,,-4.40%
Dec-07,4.48%,1.32%,-0.76%,4.35%,9.63%,,0.38%,-1.17%,,-0.86%
Jan-08,-11.58%,0.74%,1.33%,12.54%,12.14%,0.17%,-0.48%,-3.24%,,-6.12%
Feb-08,-1.22%,3.33%,0.84%,-1.34%,19.17%,-2.45%,3.38%,2.56%,,-3.48%
Mar-08,0.94%,0.04%,0.35%,3.37%,-13.37%,0.47%,-0.65%,-1.89%,,-0.60%
Apr-08,6.69%,3.78%,-0.96%,2.66%,-1.93%,4.44%,2.94%,2.34%,,4.75%
May-08,11.13%,3.84%,-0.21%,1.43%,16.47%,1.28%,3.19%,3.43%,,1.07%
Jun-08,-6.91%,-3.03%,-1.85%,-7.93%,10.29%,-7.67%,1.27%,-2.59%,,-8.60%
Jul-08,-7.63%,-2.60%,-1.04%,13.17%,-10.92%,2.82%,-4.45%,-0.72%,,-0.99%
Aug-08,2.87%,1.15%,-0.26%,1.47%,0.63%,1.21%,0.57%,2.19%,,1.22%
Sep-08,-7.89%,-1.67%,0.10%,16.12%,-0.12%,1.01%,-0.26%,-2.39%,,-9.08%
Oct-08,-7.61%,-2.72%,-0.23%,18.80%,-19.02%,-2.19%,-0.23%,-11.24%,,-16.94%
Nov-08,-1.48%,0.01%,0.01%,12.21%,-8.20%,2.88%,0.01%,-3.12%,,-7.48%
Dec-08,2.52%,4.31%,0.62%,6.36%,15.98%,8.74%,0.00%,4.62%,,0.78%
Jan-09,-1.65%,-2.83%,-1.28%,-12.01%,-15.11%,-5.78%,-0.25%,-4.66%,,-8.57%
Feb-09,-2.60%,-1.61%,-1.59%,12.89%,8.04%,0.96%,0.02%,-1.87%,,-10.99%
Mar-09,8.43%,1.67%,3.14%,5.00%,-0.70%,2.97%,0.01%,6.73%,,8.54%
Apr-09,4.89%,6.34%,6.22%,9.43%,0.57%,2.37%,-1.38%,7.46%,,9.39%
May-09,5.72%,9.60%,5.16%,5.56%,9.76%,1.33%,4.63%,4.78%,,5.31%
Jun-09,2.72%,-2.55%,1.92%,3.81%,6.54%,1.39%,-0.82%,0.34%,,0.02%
Jul-09,8.84%,6.02%,3.63%,9.20%,-2.95%,5.78%,5.03%,4.13%,,7.41%
Aug-09,2.79%,2.19%,2.11%,3.51%,15.68%,4.37%,3.81%,1.05%,,3.36%
Sep-09,4.99%,3.82%,4.01%,3.36%,6.59%,4.06%,4.51%,2.80%,,3.57%
Oct-09,0.20%,-3.75%,-0.24%,-1.83%,-4.30%,-2.83%,-3.99%,0.47%,,-1.98%
Nov-09,4.33%,3.29%,1.97%,5.86%,-1.50%,3.47%,4.18%,3.24%,,5.74%
Dec-09,5.80%,3.62%,-0.50%,1.81%,-10.87%,1.76%,3.49%,0.26%,,1.78%
Jan-10,-6.12%,-3.24%,0.11%,-3.18%,-8.85%,-2.99%,-4.09%,-1.67%,,-3.70%
Feb-10,2.81%,0.26%,0.22%,2.49%,6.31%,3.50%,2.90%,3.06%,,2.85%
Mar-10,3.55%,2.35%,2.23%,5.79%,5.06%,6.26%,5.30%,5.29%,,5.88%
Apr-10,1.29%,1.41%,1.53%,1.47%,9.11%,2.98%,1.72%,0.28%,,1.48%
May-10,-4.53%,-6.53%,-2.40%,7.16%,-5.33%,-3.41%,-6.54%,-5.40%,,-8.20%
Jun-10,-2.11%,-1.81%,0.44%,-5.07%,5.41%,-4.99%,-4.72%,-2.00%,,-5.39%
Jul-10,7.18%,3.44%,1.35%,5.94%,6.58%,4.35%,6.15%,6.26%,,6.88%
Aug-10,0.98%,-3.56%,1.21%,-0.30%,-8.31%,0.37%,-4.62%,-6.27%,,-4.74%
Sep-10,12.53%,8.77%,2.00%,-0.79%,16.08%,3.26%,9.49%,9.43%,,8.76%
Oct-10,6.17%,3.29%,1.55%,3.62%,13.42%,2.96%,3.39%,3.54%,,3.69%
Nov-10,1.14%,0.38%,-2.28%,0.00%,13.53%,0.18%,0.10%,2.30%,,-0.23%
Dec-10,5.83%,5.93%,0.37%,6.35%,9.99%,6.05%,6.87%,3.89%,,6.53%
Jan-11,0.43%,1.38%,0.29%,2.22%,5.46%,1.87%,1.23%,1.15%,,2.26%
Feb-11,3.10%,3.32%,0.37%,3.30%,1.98%,3.50%,3.57%,3.18%,,3.20%
Mar-11,-1.13%,1.36%,-0.04%,-2.50%,7.48%,-0.12%,-0.52%,2.00%,,-0.10%
Apr-11,1.80%,3.10%,0.79%,2.74%,27.50%,3.14%,2.86%,4.20%,,2.85%
May-11,0.42%,-3.17%,0.21%,-1.06%,-19.80%,-0.65%,-3.68%,-2.94%,,-1.35%
Jun-11,0.63%,-3.33%,-0.45%,-7.47%,-5.34%,-3.12%,-3.29%,-0.77%,,-1.83%
